,wealth,current,government,dilnot
1,250,0.0,0.0,0.0
2,500,0.0,0.0,0.0
3,750,0.0,0.0,0.0
4,1000,0.0,0.0,0.0
5,1250,0.0,0.0,0.0
6,1500,0.0,0.0,0.0
7,1750,0.0,0.0,0.0
8,2000,0.0,0.0,0.0
9,2250,0.0,0.0,0.0
10,2500,0.0,0.0,0.0
11,2750,0.0,0.0,0.0
12,3000,0.0,0.0,0.0
13,3250,0.0,0.0,0.0
14,3500,0.0,0.0,0.0
15,3750,0.0,0.0,0.0
16,4000,0.0,0.0,0.0
17,4250,0.0,0.0,0.0
18,4500,0.0,0.0,0.0
19,4750,0.0,0.0,0.0
20,5000,0.0,0.0,0.0
21,5250,0.0,0.0,0.0
22,5500,0.0,0.0,0.0
23,5750,0.0,0.0,0.0
24,6000,0.0,0.0,0.0
25,6250,0.0,0.0,0.0
26,6500,0.0,0.0,0.0
27,6750,0.0,0.0,0.0
28,7000,0.0,0.0,0.0
29,7250,0.0,0.0,0.0
30,7500,0.0,0.0,0.0
31,7750,0.0,0.0,0.0
32,8000,0.0,0.0,0.0
33,8250,0.0,0.0,0.0
34,8500,0.0,0.0,0.0
35,8750,0.0,0.0,0.0
36,9000,0.0,0.0,0.0
37,9250,0.0,0.0,0.0
38,9500,0.0,0.0,0.0
39,9750,0.0,0.0,0.0
40,10000,0.0,0.0,0.0
41,10250,0.0,0.0,0.0
42,10500,0.0,0.0,0.0
43,10750,0.0,0.0,0.0
44,11000,0.0,0.0,0.0
45,11250,0.0,0.0,0.0
46,11500,0.0,0.0,0.0
47,11750,0.0,0.0,0.0
48,12000,0.0,0.0,0.0
49,12250,0.0,0.0,0.0
50,12500,0.0,0.0,0.0
51,12750,0.0,0.0,0.0
52,13000,0.0,0.0,0.0
53,13250,0.0,0.0,0.0
54,13500,0.0,0.0,0.0
55,13750,0.0,0.0,0.0
56,14000,0.0,0.0,0.0
57,14250,0.0,0.0,0.0
58,14500,0.0017064250000000001,0.0,0.0
59,14750,0.003354674,0.0,0.0
60,15000,0.004948047,0.0,0.0
61,15250,0.006489306,0.0,0.0
62,15500,0.007980973,0.0,0.0
63,15750,0.009424913,0.0,0.0
64,16000,0.010824100000000001,0.0,0.0
65,16250,0.01217999,0.0,0.0
66,16500,0.01349521,0.0,0.0
67,16750,0.01477076,0.0,0.0
68,17000,0.016008389999999997,0.0,0.0
69,17250,0.01721071,0.0,0.0
70,17500,0.01837891,0.0,0.0
71,17750,0.01951386,0.0,0.0
72,18000,0.020617399999999998,0.0,0.0
73,18250,0.02169039,0.0,0.0
74,18500,0.02273459,0.0,0.0
75,18750,0.02375083,0.0,0.0
76,19000,0.024740540000000002,0.0,0.0
77,19250,0.02570465,0.0,0.0
78,19500,0.02664403,0.0,0.0
79,19750,0.02755904,0.0,0.0
80,20000,0.028451559999999997,0.0,0.0
81,20250,0.029322240000000003,0.024691360000000002,0.024691360000000002
82,20500,0.03017169,0.024390239999999997,0.024390239999999997
